id redshift chandra.0p5to7 chandra.0p5to7_err chandra.2to7 chandra.2to7_err chandra.1p2to2 chandra.1p2to2_err chandra.0p5to1p2 chandra.0p5to1p2_err chandra.0p2to0p5 chandra.0p2to0p5_err xmm.newton.0p2to0p5 xmm.newton.0p2to0p5_err xmm.newton.0p5to1 xmm.newton.0p5to1_err xmm.newton.1to2 xmm.newton.1to2_err xmm.newton.2to4p5 xmm.newton.2to4p5_err xmm.newton.4p5to12 xmm.newton.4p5to12_err xmm.newton.0p2to12 xmm.newton.0p2to12_err xmm.newton.0p5to4p5 xmm.newton.0p5to4p5_err galex.FUV galex.FUV_err galex.NUV galex.NUV_err ctio.decam.u ctio.decam.u_err ctio.decam.g ctio.decam.g_err ctio.decam.r ctio.decam.r_err ctio.decam.i ctio.decam.i_err ctio.decam.z ctio.decam.z_err vista.vircam.J vista.vircam.J_err vista.vircam.H vista.vircam.H_err vista.vircam.Ks vista.vircam.Ks_err spitzer.irac.ch1 spitzer.irac.ch1_err spitzer.irac.ch2 spitzer.irac.ch2_err spitzer.irac.ch3 spitzer.irac.ch3_err spitzer.irac.ch4 spitzer.irac.ch4_err spitzer.mips.24 spitzer.mips.24_err WISE1 WISE1_err WISE2 WISE2_err WISE3 WISE3_err WISE4 WISE4_err
11 1.49 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 0.0005204828939311926 3.414121301966746e-05 0.0005864064026128074 1.3730020824131469e-05 0.0004029121559318818 1.6490526094439148e-05 0.0006255808586346715 2.795302802257545e-05 0.0007817803725758652 5.398572128143683e-05 0.0009130767733581507 3.730464734042661e-05 0.001213579522874743 5.5187877110862767e-05 0.001725935118928803 6.902853872259811e-05 0.003382 0.00015 0.005433 0.000313 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
12 1.3 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 2.5995152875784607e-06 2.750343088485274e-07 3.4711982393944962e-06 2.4370166324309283e-07 2.0499057289957644e-06 1.5007097371827608e-07 7.71470760718334e-07 1.0781454088489471e-07 4.6311923719220836e-07 2.0601690776636306e-07 9.71286092244499e-07 1.3631125681029709e-07 1.6666637426910728e-06 7.858161512586539e-08 -9999.0 -9999.0 -9999.0 -9999.0 0.003269477680295103 3.966663930320537e-05 0.0021577049844537424 1.462794181159811e-05 0.003801813634791324 2.099527408051517e-05 0.0031406134557499478 3.088965503170529e-05 0.00377075132018132 6.15092370024886e-05 0.00923843245826776 0.00014888373171504139 0.01410800652610743 0.00019502624171467293 0.017370462478913894 0.0002495281365010052 0.025852 0.0005250000000000001 0.027593 0.000763 -9999.0 -9999.0 0.027314 0.005405 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
13 0.15 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 3.2063969509840575e-06 3.5973278328152807e-07 2.4679514268039187e-06 2.449233394807642e-07 1.7246644143065815e-06 1.6147259599192547e-07 1.0304843200425177e-06 1.4634655681713428e-07 2.593852179945473e-07 1.395203340010637e-07 8.149122908600485e-07 1.0403482379799945e-07 1.4476077639542584e-06 8.632027652034932e-08 -9999.0 -9999.0 -9999.0 -9999.0 0.002603971497131861 3.6794270662787105e-05 0.002944410396417572 1.4070822690418047e-05 0.003090883437122437 1.8158010949897274e-05 0.004036254092422923 2.9693809218366654e-05 0.0036569632519093593 5.786614942717089e-05 0.004794788677469545 5.1345707185857505e-05 0.006098256326162073 7.360894753198413e-05 0.006983200792500079 9.916299655871864e-05 0.014339000000000001 0.000518 0.021628 0.0008810000000000001 0.031418 0.003281 0.031278 0.006008 -9999.0 -9999.0 0.015646 0.002882 0.012543 0.0062380000000000005 0.195344 0.0 1.198947 0.0
14 0.6266 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 2.1561854960272127e-05 8.973999121114071e-07 1.3270282365827463e-05 5.668635642142626e-07 5.684103039329121e-06 2.967101703816447e-07 2.5911116108183114e-06 2.2829216540435453e-07 9.489923666305322e-07 2.1298798923629793e-07 2.883888705143331e-06 1.5155785139941418e-07 5.403921892031772e-06 1.679525669228506e-07 0.0170712 0.00297083 0.0260569 0.0028994399999999997 0.029642745096380284 0.00010186938366618314 0.03126273293855391 4.268335185986024e-05 0.028205354428847074 5.085022344752491e-05 0.030513391371570393 7.612330849848918e-05 0.030476984159578776 0.00013770743994731923 0.04618218832506614 0.0001727686413137102 0.058906295192427766 0.0002344060864050607 0.08106654281127311 0.0003196256408753262 0.173263 0.0008680000000000001 0.19719 0.0011140000000000002 0.246869 0.003848 0.266384 0.00572 -9999.0 -9999.0 0.16247999999999999 0.0052380000000000005 0.187932 0.008308 0.32181 0.06995 1.577611 0.0
15 1.25 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 6.771259792378486e-06 5.084872361162834e-07 5.948033080411408e-06 3.8074362944898e-07 3.782977955730192e-06 2.384415074993754e-07 2.135311402604939e-06 1.9864273655156799e-07 7.362701629715566e-07 1.93407532669622e-07 1.7445788459003348e-06 1.3834334166680255e-07 3.102877742140306e-06 1.256839752264403e-07 0.00477368 0.0015949599999999999 0.0132025 0.0021596700000000003 0.011113626573459193 5.127269061000165e-05 0.014258157652810627 2.1927326200546137e-05 0.01850528950935548 2.9717854231826158e-05 0.016731904782220534 4.385051611110879e-05 0.015789008792975304 8.109875130642254e-05 0.01985539018143465 7.604237450706768e-05 0.024973834646030244 0.0001154572199423998 0.03488340988091435 0.0001409869209905767 0.062906 0.0006500000000000001 0.07963500000000001 0.000785 0.092806 0.003386 0.12445200000000001 0.004294 0.267865 0.037307 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
16 0.25 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 0.0016422652780552279 3.554970758943882e-05 0.0018347837171673786 1.5343933555273107e-05 0.0011549620336668391 1.7881867271496464e-05 0.0012729392225577939 2.7963247348681186e-05 0.0020140498869165246 5.3648763824984286e-05 0.004276901202198373 8.024535489865802e-05 0.005607150967254006 0.00010972963898637123 0.007566356518181835 0.00012875173148080708 0.006984 0.000521 0.010513 0.000744 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
17 1.119 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 1.4689891659473547e-05 7.727122881609508e-07 9.188791915733307e-06 4.960030338951692e-07 4.463088508489321e-06 2.8229778202463477e-07 2.124889520008691e-06 2.2533268160043577e-07 6.554481877264726e-07 3.0235811389974375e-07 2.0949960727425735e-06 2.0801987939151048e-07 3.982544600445253e-06 1.5416942040592762e-07 -9999.0 -9999.0 -9999.0 -9999.0 0.009688837479840956 5.538748341757818e-05 0.012125553008422791 2.2242672483331202e-05 0.017356298840542683 3.098977002972314e-05 0.015215255275450439 4.593099337355445e-05 0.016271328616738058 8.043339437932066e-05 0.02017743610005676 9.769665212590745e-05 0.028106783942524135 0.00018635222491177313 0.04034676637531777 0.00019040479910555395 0.100593 0.000717 0.146454 0.001307 0.187516 0.004054 0.24351 0.006344000000000001 0.7542920000000001 0.040136000000000005 0.09479800000000001 0.0040160000000000005 0.11240900000000001 0.007247 0.258464 0.08260500000000001 2.14981 0.0
18 1.4 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 7.373192440106764e-06 6.362738537276347e-07 4.822535930699761e-06 4.234609410905065e-07 2.394398576814128e-06 2.4770664384079395e-07 1.7171457704335736e-06 2.3473718994324066e-07 5.7931881676149825e-08 1.969118217648155e-07 1.110903429850142e-06 1.4397310693931849e-07 2.374845139943072e-06 1.414201908132356e-07 0.00425625 0.00164429 0.0164312 0.00247282 0.022145399100248063 7.77351341033344e-05 0.022256239617763837 3.0341055184115117e-05 0.031077993594022045 4.180967820001181e-05 0.0313367994637828 6.36579652824373e-05 0.02839412903722082 0.00011048635307874213 0.011927019227886932 0.0003314010667617403 0.039455205305806346 8.032507165170418e-05 0.014951390789599634 0.0004846545301996634 0.068187 0.0005600000000000001 0.10491700000000001 0.001165 0.145553 0.002879 0.223561 0.006557 0.874597 0.050188 0.059484 0.003506 0.092215 0.007049000000000001 0.368468 0.083146 1.456129 0.683984
19 0.17 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 1.579121996716437e-06 2.741754685234662e-07 1.5880633102771866e-06 2.1433842259493346e-07 4.3867027261271375e-07 1.068180931099979e-07 2.4913262206269324e-07 9.468842789498201e-08 9.7681162467184e-08 1.1470577639716095e-07 3.1646234360955354e-07 8.207653120921356e-08 5.964635718380709e-07 6.647961752774196e-08 -9999.0 -9999.0 -9999.0 -9999.0 0.0061701102936316775 4.3019641554798425e-05 0.004768090177663162 1.6593139078755235e-05 0.004899256801064355 2.1681743728891127e-05 0.006145908925093634 3.410811604026308e-05 0.006008470437215343 5.984810156716939e-05 0.006138583856596434 6.203470638800021e-05 0.007402895806713429 8.324990168448142e-05 0.008424187724375401 0.00010372743079521178 0.013536 0.00038300000000000004 0.014259 0.000837 0.020934 0.002241 0.030133 0.005962 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
20 0.7896 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 1.017017207465435e-05 6.470348610750307e-07 7.240404421693933e-06 4.4842465844267837e-07 4.114228395583005e-06 2.665590850372213e-07 2.2673219154907483e-06 2.2529132492346657e-07 8.72697568957681e-07 2.6003479353414417e-07 1.992287816930409e-06 1.7828758297344765e-07 3.4735989944925607e-06 1.4295555744571856e-07 -9999.0 -9999.0 0.0040534 0.00141491 0.0015830128131306084 3.458444305748931e-05 0.003070393779307121 1.6404756212346493e-05 0.0031303648332065242 2.1596390112886525e-05 0.0037801198091123645 3.3572970215468936e-05 0.005803459781381226 6.112037245377732e-05 0.011345149938536697 4.609714279867037e-05 0.010967955621356879 6.826509721674257e-05 0.014336447189854655 9.39246866692322e-05 0.029317 0.00046300000000000003 0.031382 0.000964 0.054486 0.002747 0.053844 0.005637 -9999.0 -9999.0 0.038194000000000006 0.0033420000000000004 0.03496200000000001 0.006923 0.157616 0.0 1.853532 0.0
