ID RAdeg DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr z r_z ID-COSMOS2015 bibcode flag_magellean z_magellean flag_deimos z_deimos flag_sdss z_sdss
63 150.44602 2.04351 20.82 1 1 1 1 1 6 1.1706 1 491067 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
64 150.44368 2.0491 20.11 1 1 1 1 1 6 0.6687679 1 494577 "HSC miscellaneous" False -1.0 False -1.0 True 0.6687848
65 150.35307 1.96079 21.3 1 1 1 1 1 6 1.896 1 438137 "HSC miscellaneous" False -1.0 True 1.896 False -1.0
66 150.42256 2.01415 21.79 1 1 1 1 1 6 2.2684 1 471626 "HSC miscellaneous" True 2.2699 True 2.283 False -1.0
67 150.41577 1.9678 22.7 1 1 1 1 1 6 1.121 1 443133 2020ApJ...894...24K False -1.0 True 1.221 False -1.0
68 150.41834 2.08515 20.08 1 1 1 1 1 6 0.424219 1 518166 "HSC miscellaneous" False -1.0 False -1.0 True 0.4242239
69 150.4354 2.14277 21.53 1 1 1 1 1 6 0.9671 1 555407 "HSC miscellaneous" False -1.0 True 0.967 False -1.0
70 150.45184 2.14481 20.64 1 1 1 1 1 6 1.2969 1 556169 "HSC miscellaneous" False -1.0 True 1.298 False -1.0
71 150.48437 2.16202 21.84 1 1 1 1 1 6 1.6377 1 566857 "HSC miscellaneous" True 1.6411 True 1.642 False -1.0
72 150.52619 2.24496 21.02 1 1 1 1 1 6 1.2713 1 623618 "HSC miscellaneous" True 1.2711 False -1.0 False -1.0
73 150.4496 2.24643 20.67 1 1 1 1 1 6 0.8806778 1 624526 "HSC miscellaneous" False -1.0 False -1.0 True 0.8806789
74 150.47953 2.25312 21.69 1 1 1 1 1 6 0.0603 1 629377 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
75 150.51907 2.32098 22.24 1 1 1 1 1 6 1.836 1 673948 "HSC miscellaneous" True 1.8281 True 1.836 False -1.0
76 150.34244 2.22624 21.71 1 1 1 1 1 6 1.5563668 1 610703 "HSC miscellaneous" True 0.8913 False -1.0 False -1.0
77 150.36472 2.1438 23.24 1 1 1 1 1 6 3.328 1 554731 "HSC miscellaneous" True 3.35 True 3.328 False -1.0
78 150.37824 2.19636 22.49 1 1 1 1 1 6 1.512 1 590258 "HSC miscellaneous" True 1.5101 True 1.512 False -1.0
79 150.34592 2.14752 20.74 1 1 1 1 1 6 1.2564 1 558958 "HSC miscellaneous" True 1.2586 False -1.0 True 1.256511
80 150.41585 2.17521 23.63 1 1 1 1 1 6 1.3875 1 576066 "HSC miscellaneous" False -1.0 True 1.3875 False -1.0
81 150.42223 2.17535 20.94 1 1 1 1 1 6 0.979 1 576870 "HSC miscellaneous" True 0.982 True 0.979 False -1.0
82 150.36671 2.30535 21.58 1 1 1 1 1 6 1.1773 1 662467 "HSC miscellaneous" True 1.1874 False -1.0 False -1.0
83 150.37463 2.3102 23.05 1 1 1 1 1 6 2.151 3 665457 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
84 150.34993 2.24609 20.82 1 1 1 1 1 6 0.8949 1 623908 "HSC miscellaneous" True 0.8936 False -1.0 False -1.0
85 150.43817 2.41581 20.49 1 1 1 1 1 6 2.025 1 738308 "HSC miscellaneous" False -1.0 True 2.025 True 2.020384
86 150.44442 2.36977 21.49 1 1 1 1 1 6 0.8907 1 707186 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
87 150.49565 2.41256 21.62 1 1 1 1 1 6 0.9792782 1 734723 "HSC miscellaneous" True 1.3686 True 1.369 False -1.0
88 150.45037 2.38809 23.01 1 1 1 1 1 3 1.075 3 719419 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
89 150.51157 2.40961 20.99 1 1 1 1 1 6 0.9862742 1 733581 "HSC miscellaneous" False -1.0 False -1.0 True 0.9862742
90 150.52672 2.38468 22.37 1 1 1 1 1 6 0.42066365 1 717885 "HSC miscellaneous" True 1.2995 False -1.0 False -1.0
91 150.49911 2.44491 19.03 1 1 1 1 1 4 2.029696 1 757535 "HSC miscellaneous" True 2.0313 False -1.0 True 2.029814
92 150.35363 2.34216 20.36 1 1 1 1 1 6 1.7071 1 688136 "HSC miscellaneous" True 1.7076 False -1.0 False -1.0
93 150.40669 2.36546 21.8 1 1 1 1 1 6 2.0309 1 703733 "HSC miscellaneous" True 2.0416 False -1.0 False -1.0
94 150.38142 2.50602 23.99 1 1 1 1 1 6 1.81 3 794241 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
95 150.4536 2.5279 21.03 1 1 1 1 1 6 1.9335 1 810108 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
96 150.45666 2.64811 20.36 1 1 1 1 1 6 2.0487 1 889205 "HSC miscellaneous" True 2.0566 False -1.0 False -1.0
97 150.49762 2.65989 19.94 1 1 1 1 1 6 0.8497 1 897743 "HSC miscellaneous" True 0.8535 True 0.851 False -1.0
98 150.5055 2.67487 22.05 1 1 1 1 1 6 1.289 2 906149 2018ApJ...858...77H True 1.29 False -1.0 False -1.0
99 150.38283 2.55977 22.94 1 1 1 1 1 6 2.0645 1 830661 "HSC miscellaneous" True 2.0654 False -1.0 False -1.0
100 150.41596 2.52574 22.27 1 1 1 1 1 6 1.445765 1 808139 "HSC miscellaneous" True 1.4436 True 1.444 False -1.0
101 150.35143 2.67822 21.15 1 1 1 1 1 4 2.753 1 908022 "HSC miscellaneous" True 2.7592 False -1.0 False -1.0
102 150.49077 2.77544 20.24 1 1 1 1 1 6 1.44176 1 970232 "HSC miscellaneous" False -1.0 True 1.434 True 1.435797
103 150.50456 2.72503 22.73 1 1 1 1 1 6 0.4906261 1 938102 "HSC miscellaneous" False -1.0 True 1.606 False -1.0
