 ID     RAdeg   DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr ID-COSMOS2015           z z_phot       z0          z1    z2   z3    z4    z5 r_z r_z0 r_z1 r_z4
=== ========= ======= ===== ====== ====== ====== ====== ====== ====== ============= =========== ====== ======== =========== ===== ==== ===== ===== === ==== ==== ====
 41 150.59523 2.54983 21.81      1      1      1      1      1      6        824613      1.2573   -1.0     -1.0      1.2573  -1.0 -1.0 1.257  -1.0   1   -1    1    1
 42 150.60062  2.5188 21.54      1      1      1      1      1      6        803830      0.6689   -1.0   0.6689      0.6674  -1.0 -1.0 0.667  -1.0   0    3    1    1
 43 150.55489 2.64105 21.58      1      1      1      1      1      6        885687      1.1417    0.0   1.1417      1.1435  -1.0  0.0 1.143  -1.0   0    3    1    1
 44 150.59735 2.61793 21.27      1      1      1      1      1      6        869891      1.4429   1.39   1.4429      1.4463  -1.0 1.39 1.446  -1.0   0    3    1    1
 45 150.44849 1.68565 22.05      1      1      1      1      1      6        265264       1.405   1.37    1.405       1.405  -1.0 1.37 1.405 1.405   0   18    6    3
 46 150.44749 1.69569 22.04      1      1      1      1      1      6        271177         0.9    0.9     -1.0        -1.0  -1.0  0.9 2.107  -1.0   3   -1   -1    3
 47 150.37654  1.7179 20.06      1      1      1      1      1      6        285627      1.5705   -1.0   1.5705    1.570781  -1.0 -1.0 1.571  -1.0   0    3    3    1
 48 150.39674 1.73571 22.29      1      1      1      1      1      6        295934        -1.0   -1.0     -1.0        -1.0  -1.0 -1.0 2.766  -1.0  -1   -1   -1    3
 49 150.48519 1.80309 21.96      1      1      1      1      1      6        339381      0.9573   0.02   0.9573        -1.0  -1.0 0.02 0.957 0.957   0    3   -1    3
 50 150.49168 1.77262 20.86      1      1      1      1      1      6        320331      0.8314   0.07   0.8314       0.832  -1.0 -1.0 0.832  -1.0   0    3    1    1
 51 150.49127 1.91029 21.95      1      1      1      1      1      6        407347      2.2378   2.24   2.2378      2.2367  -1.0 2.24 2.237  -1.0   0    1    1    1
 52 150.48562 1.87193 22.23      1      1      1      1      1      6        382203       4.426   4.35    4.426       4.426  -1.0 4.35 2.405  -1.0   0   18    6    1
 53 150.49767 1.86113 21.86      1      1      1      1      1      6        376362      0.8317   0.79     -1.0      0.8317  -1.0 0.79 0.832  -1.0   1   -1    1    1
 54 150.36591 1.82933 21.63      1      1      1      1      1      6        355652  0.95849705   2.21     -1.0  0.95849705  -1.0 2.21 0.959  -1.0   1   -1    9    1
 55 150.38317 1.79884 22.34      1      1      1      1      1      5        337029   1.0837362   1.85     -1.0   1.0837362  -1.0 1.85 1.084  -1.0   1   -1    9    1
 56 150.42931 1.82558 21.74      1      1      1      1      1      6        353591      2.0763   2.14   2.0763      2.0842  -1.0 2.14 2.084  -1.0   0    3    1    1
 57 150.39223 1.87568 24.42      1      1      1      1      1      6        383885        1.65   1.27     -1.0        1.65  -1.0 1.27 1.649  -1.0   1   -1    6    3
 58 150.35942 1.93644 22.48      1      1      1      1      1      6        423522    2.390003   0.22     -1.0    2.390003  -1.0 0.22  2.39  -1.0   1   -1    9    1
 59 150.35262 1.93201 22.77      1      1      1      1      1      6        420196       1.373   1.22    1.373       1.373  -1.0 1.22 0.416  -1.0   0   18    6    1
 60 150.43102 1.93527 21.47      1      1      1      1      1      6        422734      2.1809   2.07   2.1809       2.177  -1.0 2.07 1.162  -1.0   0    3    6    1
