HSC-z r_HSC-z SIMBAD-z bib_SIMBAD-z name
2.796 spec 2.8036 2009ApJ...696.1195T "SDSS J095938.28+020450.0"
1.909 spec 1.9208 2009ApJ...696.1195T "2XMM J095935.5+020537"
0.0 none 0.0 ------------------- ""
1.091 spec 1.091 2018ApJ...858...77H "ACS-GC 20067962"
0.0 none 0.0 ------------------- ""
1.367 spec 1.36 2009ApJ...696.1195T "ACS-GC 20071709"
0.134 spec 2.6681 2009ApJ...696.1195T "ACS-GC 20071495"
2.06 spec 2.05 2009ApJ...696.1195T "ACS-GC 20070206"
0.687 spec 0.68565 2015ApJS..219...12A "2XMM J095938.9+021201"
1.322 spec 1.38 2009ApJ...696.1195T "SDSS J095934.75+021028.0"
0.0 none 0.0 ------------------- ""
0.356 spec 0.354 2012ApJ...758...47A "[AFH2012] 298"
0.0 none 0.0 ------------------- ""
0.378 spec 0.3775 2009ApJ...696.1195T "3XMM J095909.5+021916"
0.932 spec 0.935 2009ApJ...696.1195T "ACS-GC 20096359"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.453 spec 1.455 2016MNRAS.456.1195H "[VV2006] J095940.7+021938"
0.908 spec 0.9087 2009ApJ...696.1195T "2XMM J095946.9+022208"
1.131 spec 1.1317 2009ApJ...696.1195T "[VV2006] J095940.0+022306"
0.0 none 0.0 ------------------- ""
1.314 spec 1.315 2007ApJS..172...70L "ACS-GC 20125813"
0.85 spec 0.8922 2009ApJ...696.1195T "ACS-GC 20153846"
0.992 spec 0.992 2009ApJ...696.1195T "ACS-GC 20122162"
1.457 spec 1.4797 2009ApJ...696.1195T "ACS-GC 20153879"
1.003 spec 0.4319 2009ApJ...696.1195T "ACS-GC 20128190"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.349 spec 0.3458 2009ApJ...696.1195T "2XMM J095928.3+022106"
1.485 spec 1.4879 2009ApJ...696.1195T "[VV2006] J095928.3+021950"
1.74 spec 1.7434 2009ApJ...696.1195T "[VV2006] J095929.2+022033"
2.737 spec 2.6961 2009ApJ...696.1195T "SDSS J095923.55+022227.3"
